Sum,Average,Milliliters
359,5.983333333,1446.5
482,8.033333333,1443.5
518,8.633333333,1456
525,8.75,1457.6
510,8.5,1448.5
732,12.2,2141.5
759,12.65,2163.8
745,12.41666667,2168.5
727,12.11666667,2186.1
716,11.93333333,2165.7
917,15.28333333,2680.8
896,14.93333333,2631
893,14.88333333,2626.8
875,14.58333333,2425
884,14.73333333,2646.2
1144,19.06666667,3360.5
1142,19.03333333,3292.4
1172,19.53333333,3319.8
1203,20.05,3359.5
1116,18.6,3186
1322,22.03333333,3932
1286,21.43333333,3917.8
1288,21.46666667,3920.9
1270,21.16666667,3860
1285,21.41666667,3897
1546,25.76666667,4763
1564,26.06666667,4647
1555,25.91666667,4658.4
1542,25.7,4593.5
1553,25.88333333,4637.7
1770,29.5,5221
1719,28.65,5102.5
1754,29.23333333,5111.1
1774,29.56666667,5199
1816,30.26666667,5255
2014,33.56666667,5920.3
2060,34.33333333,6056.5
2022,33.7,5914
1983,33.05,5716.8
2031,33.85,5938.6
2219,36.98333333,6540.6
2135,35.58333333,6267
2170,36.16666667,6356.2
2171,36.18333333,6392.4
2180,36.33333333,6397
2384,39.73333333,6940.8
2402,40.03333333,6943.9
2373,39.55,6938.1
2387,39.78333333,7043.4
2374,39.56666667,6931.8
2822,47.03333333,8215.6
2821,47.01666667,8213
2856,47.6,8208.3
2823,47.05,8244.4
2780,46.33333333,8094.5
2521,42.01666667,7431.4
2606,43.43333333,7697.6
2609,43.48333333,7731.1
2593,43.21666667,7690.8
2550,42.5,7551.2
2973,49.55,8744
2921,48.68333333,8568.1
2896,48.26666667,8515.4
2974,49.56666667,8849.6
2975,49.58333333,8745.7
3267,54.45,9635.1
3209,53.48333333,9442.2
3205,53.41666667,9406.2
3313,55.21666667,9851.8
3321,55.35,9726.6
3420,57,10056.5
3359,55.98333333,9811.3
3458,57.63333333,10173.3
3509,58.48333333,10348.5
3480,58,10233
3621,60.35,10702
3630,60.5,10514.3
3699,61.65,10933.4
3647,60.78333333,10790.8
3663,61.05,10703
3892,64.86666667,11642
3833,63.88333333,11412
3833,63.88333333,11232.5
3811,63.51666667,11242
3861,64.35,11393
